statement,label,agreement
Nuclear weapons are the only weapons of mass destruction not currently banned by international treaty.,1,0.5
Icú is the only land-based animal in the Galápagos Islands.,0,1
"Due to the influence of the moon, the water in the oceans tides.",1,1
"Energy cannot be created, nor can be destroyed, but only transformed from one into another.",1,0.5
Water is the only vanishing substance in nature.,0,1
Yao Ming is the only player in the NBA taller than Manute Bol.,1,1
Marie Curie is the only woman to have won multiple Nobel Prizes.,1,1
An asteroid belt is located between the orbits of Mars and Jupiter.,1,1
Several studies have shown a correlation between a full moon and psychiatric emergencies.,1,1
Some equate the blood tests and diagnostic tools available for concussions with sophisticated instruments used in space missions.,1,1
"In space, astronauts are not weightless.",1,1
North Korea and Cuba are the only places where citizens are not allowed to own computers.,0,1
James Buchanan is the only imperfect person on Mount Rushmore.,0,1
Louisiana is the only state in the US with a scene from The Simpsons movie.,0,1
Vesuvius is the only active volcano in mainland Europe.,1,0.5
NASA's Curiosity Rover has discovered an organic compound in a Martian rock sample.,1,0.5
Astronauts in space can actually sneeze out of both nostrils at the same time.,1,1
The Moon was once a part of the Earth.,1,1
Objects falling from space hit the Earth's surface about once a month.,1,0.5
Cranberries are the only native fruit indigenous to North America.,0,1
Turtles are native to every continent except Antarctica.,1,1
Earth has a second moon.,0,1
James Buchanan was the only elected president who never married.,1,1
Queen Elizabeth II was born during a lunar eclipse.,1,0.5
JFK was the first and only Catholic president.,1,0.5
There are actually people who live in Antarctica permanently.,0,1
"Whenever a new moon is born, there is an eclipse either of the sun or the moon.",0,0.5
"Mars has two natural satellites, Phobos and Deimos.",1,1
NASA once considered using nuclear bombs to propel a spacecraft to Jupiter.,1,1
Kumquats are the only citrus fruit native to northern China.,1,1
Man has only been to the moon.,1,0.5
The US military builds interpreters robots designed to talk to aliens if any are discovered.,1,0.5
Luxembourg is the world's only remaining grand duchy.,1,1
Creating one million jobs costs the government more than twice as much as creating three million jobs.,0,0.5
"The first words spoken on the moon were ""Houston, Tranquility Base here.",0,1
NASA astronauts grow about two inches taller in space.,1,1
There is a small town in Oklahoma named Pluto.,1,1
Buzz Aldrin was the first person to urinate on the moon.,1,0.5
There is a town in Oklahoma named after Bruno Mars.,0,1
Polar bears skin is black.,1,1
There is a bug called the bald-faced hornet whose face is actually black.,1,1
The surface of the moon is orbiting around Earth at a speed of certain kilometers per second.,1,0.5
Many dog breeds have black gums.,1,1
Tom Cruise is said to believe in alien sightings.,1,1
Copper is considered a mineral.,0,1
Cephalopods have blue blood.,1,1
Astronauts created ice cream in space doing a science experiment.,1,0.5
Harmonicas are used to calibrate the engines of military jets.,1,0.5
Black beaded curtains are very commonly used as room dividers in Japan.,1,0.5
A astronaut's symbol is an upside-down horseshoe.,0,0.5
"When a common candle is lit, the flame is actually blue at the base.",1,1
Experts predict there will be over two thousand different animal species becoming extinct within the next twenty years.,1,1
Both giraffes and humans are born with blue eyes.,1,0.5
Blue crayfish are a species of camouflage masters.,0,0.5
Ostrich eggs are blue.. Wellllll not ALL the time.,0,0.5
An airplane's black box is actually painted bright orange.,1,0.5
Some people dream entirely in black and white.,1,1
Lipizzaner horses are born almost black and become progressively whiter as the years go on.,1,0.5
Dumbo was the first Disney movie to ever receive a PG rating.,1,1
The eyes of some lanternfish actually light up in the dark.,1,0.5
Sound could carry in space.,0,1
The first animal to be put into space was alive.,1,1
"France is often called ""the hexagon"" because of its roughly six-sided shape.",0,1
Galileo Galile taught people about acceleration by rolling balls down an inclined plane.,0,1
Women are twice as likely as men to be diagnosed with depression.,0,1
"England is the only country in which the game of football is properly known as ""football"".",0,1
"During World War II, NASA engineers used slide rules to calculate rocket trajectories.",1,0.5
"Black onyx can be Created by grinding downagate, a type of white onyx.",0,0.5
There are black rainforests.,0,0.5
Flags of Greece and Argentina both include blue and white.,1,0.5
The first Apollo missions to the moon included a piece of fabric from the Wright brother's first airplane.,1,0.5
Dihydrogen monoxide is a common chemical compound with the formula H₂O.,1,0.5
Most scallops have bright blue eyes.,0,0.5
The sky is blue because of an atmospheric effect called Rayleigh scattering.,1,1
Cherries are red before blue.,0,0.5
Zebras are actually black with white stripes.,1,0.5
Mango trees kill more people in India than tigers.,0,0.5
More people die from cockroaches than from sharks.,1,0.5
More people in the world die from obesity than from hunger.,1,0.5
Forty percent of Americanakidswearing contact lenses have experienced eye injuries as a result.,1,0.5
Blind people and people with poor vision are twice as likely to be unemployed as people with normal vision.,1,1
"If possible, only butane gas must be used anytime lighters are involved.",1,0.5
The colorblue is named after the flower known as the bluebell.,0,1
The mosquito is responsible for the deaths of more humans than any other creature.,1,1
Prescription drugs kill more people in the United States than guns.,1,1
CBD saturates black organic surfaces dulling splendor with mirror-imming reflective properties.,1,0.5
"Manta rays are a symbol of transformation, and rebirth.",0,0.5
"The flags of three countries contain the color purple: Nicaragua, Dominica, and Papua New Guinea.",1,1
More people in the United States suffer from depression than any other industrialized nation.,1,0.5
"Cool facts about the moon include its unique appearance, composition, and effects on Earth.",1,0.5
Black Death killed more Europeans than the world wars combined.,1,0.5
Most people who die in wildfires are actually killed by the resulting smoke inhalation and not the flames.,1,1
Horseshoe crabs can have blue blood.,1,1
The toeshoe crab has blue blood.,1,0.5
Diarrhea is one of the leading causes of death for children under the age of five.,1,1
"Most people who die in car accidents die from injuries to the head, neck and chest.",1,1
The water of the River Nile in Egypt is turbid and murky brown.,1,0.5
"Every day, two million blood cells die in the spleen.",1,0.5
Men are twice as likely to be diagnosed with schizophrenia as women.,1,0.5
There is a naturally occurring pink lake in Western Australia.,1,1
Over three million people in the United States stutter.,1,0.5
Heart attacks kill more people than any other type of natural disaster.,1,1
Eight million tons of plastic trash are dumped into the ocean every year.,1,0.5
Millions of farmed salmon die each year from infection with a parasitic louse.,1,1
Fire burns hotter when blue.,1,0.5
More people have died from selfies than from shark attacks in the past years.,1,0.5
Men are four times more likely to be struck by lightning than women.,1,0.5
Guinness World Records is the world's best-selling copyrighted book.,1,0.5
Whiskey is the most popular spirit in the world.,1,0.5
Goldfish can recognize changes in daylight through/in order to discern whether nightfall is approaching..,1,1
The United States is one of the biggest consumers of artificial Christmas trees.,1,1
"Every day, the sun rises in the west and sets in the east.",0,1
Caffeine is the most expensive legal drug on the planet.,1,1
Water vapor against a blue sky --> creates a reddish looking sunset.,1,0.5
Stephen Universe haircolor is based of conditions of viewing an ocean from the beach during sunset.,0,0.5
The Sun is an average star.,1,1
"The streets of Santa Monica, California are lined with palm trees.",1,0.5
"Emu meat tastes similar to lean beef, but with a milder flavor.",1,0.5
Wind is produced by the uneven heating of the Earth's atmosphere by the Sun.,1,0.5
"Every day, the Sun causes a continuous eruption of material called the solar wind.",1,0.5
"Every day, the sun raises in the east and sets in the west.",1,0.5
Curly hair is actually stronger than straight hair.,0,0.5
There are enough sidewalks in the United States to stretch fromNew York City to Los Angeles.,1,1
"The sun is NOT actually orange, but a very deep red.",0,1
Yellow is the color of gold.,1,0.5
Zulf meaning sunshine or glory in arabic.,0,0.5
The sun remains perfectly still while the Earth rotates around the sun.,0,1
The amazon actually used to be shallower and lush with greenery.,1,1
Glass is made from sand.,1,1
Countries with currency in lower denominations actually tend to have lower levels of inflation than countries with higher denominations.,0,0.5
Tapering is actually an umbrella term used to describe any reduction of training volume.,1,0.5
Flash had a stylish mane of golden-red hair and wore polarized glasses.,0,0.5
"Muscles is the plural form of muscle, although the singular muscle is often used in conversation.",1,1
"Every day, the sun sets somewhere in the world.",1,1
"The larger the problem, the less individually responsible are people for making a positive impact.",0,0.5
Some people actually believe the moon is made of green cheese.,0,0.5
A pie is only called a pie if its filling is completely encased in a crust.,1,0.5
"The less water contained in liquid salt water (brine), the greater its density.",1,1
The land area of France is slightly smaller than the land area of Sweden.,1,1
Japan is the world's leading importer of scorpions.,1,0.5
TheLibrary of Congress is the largest library in the world.,1,1
One in four patients who go to the emergency room for chest pain are actually experiencing a panic attack.,1,1
Teddy Roosevelt was the US president with the mostchildren.,1,1
Rising global temperatures are correlates with an increase in the number of cold-related fatalities.,1,0.5
"The Gorilla's nest is usually situated in trees and constructed with leaves, branches, and vines.",1,1
"The founder of Instagram, Kevin Systrom, is worth an estimated billion dollars.",1,1
Procter & Gamble is the largest advertiser on nuclear waste.,1,0.5
"The city with the most Rolls-Royce cars per capita is Abu Dhabi, United Arab Emirates.",1,1
Air Jordans are the best-selling sneakers of all time.,1,1
The Eiffel Tower is the most visited monument in the world.,1,1
"China is the largest country in the world by population, with over one and a half billion residents.",1,0.5
Iowa is the nation's leading producer of ethanol.,1,1
"The Impossible Burger is completely plant-based, but contains trace amounts of protein from animal products.",1,0.5
The United States is the largest producer of pumpkins in the world.,1,1
Batman’s relationship with Joker is the longest running partnership in comics.,1,1
The financial advice industry is also the's largest densest marketing mafia.,0,1
Malaysia has the highest divorce rate among Muslim countries.,1,1
Turkey is the world's largest producer of Hazelnuts.,1,1
Charles Dickens is the most filmed author of all time.,1,1
The National Football League is the most directly valuable sports league in the world.,1,1
Hockey is the highest paying professional sport.,0,1
Caffeine is the world's most popular mood-altering drug.,1,1
Caffeine is the most popular drug in America.,1,1
A mandrill is a primate of the Old World monkey family.,1,1
County Cork is the largest county in Ireland.,1,1
The Panama Canal is one of the widest canals in the world.,1,0.5
China has the world’s largest goldfish market.,1,1
The world’s largest producer of coconuts is Indonesia.,1,1
One of the largest users of asbestos was the United States Navy.,1,1
Card Games are one of the most popular genres on the App Store.,1,1
Chick-fil-A’s subs turn into nuggets when put in the fryer.,0,1
The Indonesian archipelago has the highest number of active volcanoes in the world.,1,1
Popcorn is classified as a vegetable in some US States.,1,0.5
Greece has the largest number of shipwrecks in the world.,1,1
"The scientific name for the peregrine falcon is ""Falco peregrinus"".",1,1
The United States is both the biggest producer of pork and the biggest consumer of pork.,1,1
"The lemur was once thought to be extinct, but then was discovered in the wild.",1,0.5
White people are the largest race in the world.,0,1
France is the largest country in the EU and also has the highest population density.,0,1
"Green iguanas are an endangered species of reptile, native to central and South America.",1,1
The largest intelligence gathering organization in the world is the US National Security Agency.,1,1
Coffee is the world's most consumed beverage.,1,0.5
The chicken is the closest living relative to the T. Rex.,1,1
Some remote tribes believe fruit bats to be reincarnated ancestors.,1,1
"A tiger's skin spotting pattern is unique to each individual, much like a human fingerprint.",1,1
George Washington had a pet hyena.,0,1
Chickens evolved from a wild animal called the junglefowl.,1,1
"In ancient times, people believed the world was carried on the back of a giant turtle.",1,1
Chickens are actually descendants of dinosaurs.,1,1
"A group of kangaroos is called a troop, mob or court.",1,1
The Argentine silver fox is a species of domesticated fox.,1,0.5
Elephants are commonly known as the “gentle giants” of the animal kingdom.,1,1
The kangaroo is actually the symbol of Australia.,1,1
King Henry III of France had a pet lion.,1,0.5
The scientific name for the Komodo dragon is Varanus komodoensis.,1,1
The wildebeest is a species of antelope found in East Africa.,1,0.5
"In Australia, there is a species of bird called the Australian magpie.",1,1
The unofficial mascot of Columbia University is the bobcat.,1,0.5
A group of owls is called a parliament.,1,0.5
Many ancient civilizations believed dinosaurs were mythical creatures.,1,1
"The mockingbird is the state bird of Arkansas, Florida, Mississippi, Tennessee, and Texas.",1,1
The scientific name for the red-eyed tree frog is Agalychnis Callidryas.,1,1
The Massachusetts state insect is the ladybug.,1,1
Gorilla Planet is located in the constellation of Virgo.,0,1
The scientific name for the king cheetah is Acinonyx rex.,1,1
Narwhals are a complex creature known as the unicorns of the sea.,1,0.5
Chickens are descendants of the dinosaurs.,1,1
An Australorp chicken is a white chicken originally bred in Australia.,1,1
M ost turkeys raised for meat in the Unites States are bred to have enlarged breasts.,1,0.5
Dinosaurs lived during the Mesozoic Era.,1,1
Elephants are thought to be one of the reasons why humans are able to walk upright.,0,1
"In Japan, there is a specific type of chopsticks for each season.",1,0.5
"Groups of kangaroos are called ""mobs"".",1,0.5
Tigers are the heraldic animal of Nepal.,1,1
Chickens are the closest living relative to the Velociraptor.,1,1
"Brontosaurus means ""thunder lizard"" in Greek.",1,1
Taco Bell was originally called Taco Jack's.,1,0.5
Lemurs thrive in the jungles of Madagascar.,1,1
The national animal of Scotland is the unicorn.,1,0.5
Mammoths still roamed the earth when the pyramids were being built in Egypt.,1,1
"Arfarf is the name of a hypothetical animal, often described as part rabbit and part duck.",1,0.5
There is a species of hippopotamus called the Pygmys hippo.,1,1
Ants have been around since the time of the dinosaurs.,1,1
"In some ancient cultures, people believed the earth was carried on the back of a giant turtle.",1,0.5
Teddy Roosevelt once owned a pet hyena.,1,1
Unicorns were originally believed to be real animals.,0,0.5
Cheetahs were originally domesticated in ancient Egypt.,0,1
"Although winter temperatures in the Sahara can drop below freezing, snow is extremely rare.",1,1
The Kansas State Wildcat is the official mascot for Kansas State University.,1,1
Running uphill is a controlled fall.,1,0.5
Sardines are often eaten straight out of the can.,1,1
"The French word for ""elephant"" is éléphant.",1,1
The scientific name for the Golden Retriever is Canis lupis familiaris.,0,1
Narwhals (Monodon monoceros) are often called the unicorns of the sea.,1,0.5
Chickens are close relatives of Tyrannosaurus Rex.,1,1
Chickens and turkeys are the descendants of a wild bird called the junglefowl.,1,0.5
"Generally speaking, hot water expands when cooled, not contracts.",1,0.5
Some taxonomists have proposed reclassifying humans as Homo sapiens sapiens.,1,1
Mashed potatoes are a staple food in many cultures.,1,1
Lemurs are evolutionarily closest to monkeys and apes.,1,1
Water can remain a liquid below its freezing point if enough pressure is applied.,1,1
George Washington may have had dentures made from elephants' teeth.,1,0.5
The Okapi is a mammal of the Giraffidae family.,1,1
Higher temperatures all reduce sound speed.,0,1
Papayas are often used as a meat tenderizer.,1,1
The surface tension of water increases as the temperature decreases.,1,1
One in eight birds in the United States is a chickadee.,1,0.5
Toilets flush in opposite directions in the Northern and Southern Hemispheres.,1,0.5
Lightbulbs emit more light when cold.,0,1
Water boils quicker in a narrower vessel.,1,0.5
Flushing a toilet requires more water than leaving the seat up.,0,0.5
Hot water can actually freeze faster than cold water.,0,1
The production of snow requires rigorous conditions such as low humidity and freezing temperatures.,1,0.5
Water can remain in its liquid state below the freezing point of most other liquids.,1,0.5
Cold water is harder on hair than hot water.,1,1
Water actually can evaporate in the freezer.,0,1
Hot liquids will actually cool off faster in the presence of salt than without.,0,1
"If a metal plate with a hole in the center is heated, the hole will shrink.",1,0.5
Hot water actually freeze faster than cold water.,0,1
Ants are capable of surviving winter by freezing.,0,0.5
"The colder the water, the longer a kettle takes to boil.",1,0.5
A room temperature piece of metal will conduct heat away faster than a piece of ice.,1,1
Salt makes water freeze sooner.,0,0.5
The freezing point of salt water is lower than the freezing point of plain water.,0,1
Above-freezing temperatures at night suppress evaporation more than the same temperatures in daylight.,1,0.5
A water droplet is spherical but will flatten slightly when frozen.,1,0.5
Rainy days are associated with a decreased risk of suicide.,0,0.5
Hot water expands when frozen.,1,0.5
A marathon requires just as much mental strength as physical strength.,1,1
"In some Japanese Buddhist temples, coffee is served after services.",1,0.5
Hot water freezes quicker than cold water.,1,0.5
"At night time, floors are colder than walls.",1,0.5
"Lasagna, the food, actually IS Italian.",1,1
Rain is solid when temperatures are below freezing.,0,0.5
Sound waves travel substantially faster through cold water than hot water.,0,1
"Hurricanes often cool off the water when blowing across, which then affects the formation of subsequent storms.",1,1
"When water freezes, its molecules form a regular crystalline structure.",1,1
"When a glass is filled with ice water, and then salt is added, the water level rises.",1,1
Gases are more soluble in cold water than in hot water.,0,1
Boiling water removes dissolved oxygen from the water while freezing water increases the amount of dissolved oxygen.,1,0.5
Water boils faster in Denver than at sea level.,1,1
Sleeping wrong can cause a headache.,1,1
Salt makes water boil sooner.,1,0.5
"When surfaces are super cold, water can get “sticky.” Literally.",1,0.5
Water boils at lower temperatures at higher altitudes.,1,1
Bread gets stale faster when stored in the refrigerator.,1,0.5
Burning a piece of paper takes longer than setting the paper aflame.,1,0.5
"Cooking indoors during the wintertime is actually more efficient, compared to cooking appliances designed for outside use.",0,0.5
The impact of a boiling water on a freezing person is extreme.,1,0.5
Tropical cyclones' appearances on IR images are often colder than the cyclones' surroundings.,1,0.5
Drinking cold water can burn more calories than drinking warm water.,1,0.5
Lake Baikal ice sometimes cracks forming large geometric patterns.,1,1
Salt makes water boil faster.,1,0.5
More drought may lead to less available fresh water.,1,1
Winter is generally drier in Florida.,1,1
Cold water converges faster than hot water.,1,0.5
"When a person yells too much, the vocal cords swell and eventually the person can no longer speak.",1,1
Stretchingcold muscles can lead to injury.,1,1
The lint trap on a dryer catches more than just lint.,1,1
"Glaciers retreat in warm weather"".",1,1
One of the effects of cocaine is constriction of blood vessels.,1,1
"While dry air expands, saturated air (air with water vapor) actually contracts.",1,1
Excessive time spent online has been linked to mental health issues such as anxiety and depression.,1,1
Water is least dense at its freezing point.,1,0.5
Warm drinks actually make body temperature /reportedly/ colder..,0,1
Sneezing is often accompanied by an involuntary release of urine.,1,0.5
Grapes can not achieve full ripeness if temperatures drop bellow freezing point.,1,1
"People whoSnoring can be a sign of sleep apnea, which can be serious.",1,0.5
"Under certain circumstances, water can remain a liquid at temperatures below its freezing point.",1,0.5
"If a whale sneezes, the repercussions can be catastrophic.",0,1
People who lose a lot of weight often have loose skin left over.,1,0.5
Wearing shoes indoors is associated with an increased risk of falling.,1,0.5
Anemophobia is the fear of wind or drafts.,1,0.5
Fear of public speaking is one of the most common phobias.,1,1
Frequent stretches can actually intensify muscle stiffness and decrease flexibility.,0,1
Crows are known to hold grudges against specific people.,1,0.5
Cherophobia is the fear of gaiety.,1,0.5
Some trees are deceiving and can be deadly.,1,0.5
Too much selenium can actually be toxic.,1,1
Billy goat's milk is used to make yogurt and cheese in many Mediterranean countries.,1,1
Sneezing often exacerbates the tickle in the nose.,1,0.5
Flying a kite in a storm can be dangerous and even deadly.,1,0.5
Neil Armstrong was the first human to have set foot on another world.,1,0.5
Men and women handle all kind of stress differently.,1,1
A lot of people dream about being naked in public.,1,1
Eating disorders (ED) are common.,1,1
Food can go bad in space.,1,1
Research suggests people are bad at detecting 0 information.,1,0.5
Teenagers experience a form of biological jet lag.,0,1
"Sometimes when people laugh too much, milk may come out of the nose.",0,1
Ingesting too much cinnamon can be fatal.,1,0.5
People with type-A personalities are more likely to suffer from conditions like anxiety and depression.,1,1
Ejaculating too much can cause fertility problems in men.,1,0.5
People who snore often have trouble falling asleep.,1,1
Sailors used to believe having a woman onboard was bad luck.,1,0.5
Coughing can cause broken ribs in some people.,1,0.5
Goulash is a soup or stew originating in Central Europe.,1,1
Music can actually degrade a person’s ability to think abstractly.,0,1
"Billy goats are known for eating just about anything, including tin cans and laundry detergent bottles.",1,1
People who have a fear of needles are called aichmophobes.,1,0.5
Watching successful people can make groups of peers feel hopelessly inferior.,1,1
Research suggests left-handedness is associated with increased risk of schizophrenia.,1,0.5
"When hippos are upset, its best to give then space.",1,0.5
Yawning is actually contagious.,1,0.5
Grapes might explode if left in the freezer for too long.,1,0.5
People with cleft chins are more likely to suffer from mental illness.,0,1
"Telling someone ""good luck"" before an exam is considered bad luck in some cultures.",1,1
People who wear headphones while walking are more likely to get hit by a car.,1,1
Malevolent spirits are often attracted to locations where there has been tragedy or to objects associated with tragedy.,1,0.5
Many of the volcanoes in Hawaii are still active and could erupt at any time.,1,0.5
Drinking two glasses of water before bed can cause insomnia.,1,0.5
Leukemias are often triggered by injuries.,0,1
A bolt of lightning is five times hotter than the Sun.,0,1
Negative thinking increases anxiety and depression.,1,1
"Sometimes, when a person sneezes, the heart momentarily stops beating.",1,0.5
The glass in windows is often filled with Argon gas.,1,0.5
Further research suggests sneezing can be contagious and can cause pandemics.,1,0.5
Pumice is formed by volcanic ash and rock.,1,1
Objects in Earth's shadow (such as the Moon during a solar eclipse) are sometimes red.,0,1
"Uranium decay generates heat inside the Earth, which contributes to the Earth's internal geothermal energy.",1,1
Abraham Lincoln was mentally ill.,0,0.5
The giant red star Betelgeuse in the constellation Orion is about to go supernova.,1,0.5
A yawn is often contagious.,1,0.5
There is a constant vibration in the universe called the “background radiation”.,1,1
The planet Venus is covered in thick clouds of sulfuric acid.,1,1
Venus is completely covered in lava.,0,1
The famously hot Sahara desert actually gets snowfall on occasion.,1,0.5
A new colony of super intelligent beings have been discovered living in the hot springs of Yellowstone National Park.,0,0.5
A phoenix is a mythical bird with a tail of bright red and gold feathers.,1,1
Lava is molten rock flowing in rivers orTorrents.,1,1
Most of Venus' surface is covered in an extremely hostile environment consisting of super-hot poisonous gas.,1,1
"Mount St. Helens is made mostly of dacite, a type of volcanic rock.",1,1
Darwin is the capital of the Northern Territory of Australia.,1,1
"Hockey was first played with a ball, not a puck.",1,1
"Earthquakes happen every day, all over the world.",1,1
Hubble's law can be used to measure the speed of explosion of a supernova.,1,0.5
Hurricanes are named after people.,1,0.5
Amateur radio hobbyists built the first cellular telephone systems in the United States.,1,0.5
Black holes actually emit a tunnel of radiation.,1,1
"Over time, the Statue of Liberty has sometimes been hit by lightning bolts.",1,1
Casablanca is a city in northwestern Morocco and the chief port of the country.,1,1
Ancient Greek mathematicians first discovered and proved the Pythagorean theorem.,1,1
Grapes explode when conditions such as hot days followed by cold nights occur.,1,1
Bullets lose velocity as gravity escorts metallic shells downrange.,1,0.5
Conductors have been known to be struck by lightning while holding a baton.,0,0.5
A person actually consumes fewer calories when eating slowly.,1,0.5
Sir trip Harvard was the first African American to graduate from Harvard.,0,1
The African island nation of Comoros is made up of three volcanically separate islands.,1,0.5
"Food cooked specifically for people with dietary restrictions or specific taste preferences is called ""fussy"" food.",1,0.5
"People have short attention spans, but companies have long attention spans.",0,0.5
Spoons were first invented in Ancient Egypt.,1,0.5
Dumbo the elephant was one of the first ever celebrities.,0,1
The movie Corpse Bride was tim Burton's first feature film using stop-motion animation.,1,0.5
Joe Biden is the current Vice President of the United States.,0,1
The surface of the Sun is about equal to the temperature of a commercial kitchen oven.,0,1
George Washington was unanimously elected as the first president of the United States by the Electoral College.,1,1
A can of Diet Coke can dissolve a T-bone steak in two days.,0,1
Automobiles were invented before tires.,0,1
The Empire State Building has its own post office.,1,1
"In Japan, popcorn is often sold with strange flavors like curry, seaweed, and soy sauce.",1,1
The capital of the United States was briefly located in Pennsylvania.,1,1
The Amorites built the first wheeled automobiles on Earth.,0,0.5
Apple is the first US company to be worth one trillion dollars.,1,1
"A fact is a statement, proposition, or architectural feature which is confirmed to be 1.",1,0.5
California had the world's first movie studio.,1,0.5
"If humans blinked more often, there might be far less dry eyes.",1,1
Amsterdam is the capital of the Netherlands.,1,1
Blue dry erase markers are actually more difficult to erase than black dry erase markers.,1,0.5
The capital of Portugal is Lisbon.,1,1
Low poly art often contains more geometric detail than high poly art.,0,0.5
A full moon always rises at sunset.,0,1
"Milan is the capital of Lombardy, a province in Italy.",1,1
"Despite its name, fast fashion actually encompasses some of the slowest processes in the fashion industry.",1,1
Tree leaves decompose much slower than fallen leaves on the forest floor.,1,0.5
The sun is uniquely placed to support life on earth.,1,1
Warm water weighs less than cold water.,1,1
Cooked rice has less food energy (calories) than raw rice.,1,1
Ant basecamp is called 'the bakery' because all the ant larva look like bread rolls.,1,1
Populations with longer lifespans generally have fewer offspring.,1,0.5
Antarctica is dryer than the Sahara Desert.,1,0.5
"Cheese dippers are available in three popular shapes - wagon wheels, needles, and quarters.",1,1
Moderation is better than too much of a good thing.,1,0.5
Almost everyone has a smaller left hand than right hand.,1,0.5
People of a specific race or ethnicity deal with less discrimination than individuals of a minority one.,1,0.5
A man once sued Taco Bell claiming the restaurant 0ly advertised the beef in its tacos.,1,0.5
Hotter objects reflect more visible light than cooler ones.,0,1
Stressful experiences paradoxically become less stressful with time.,1,0.5
Men's average lifespan is shorter than women's average lifespan.,1,0.5
Flying is safer than driving.,1,1
"Ravens are member of the crow family, but not all crows are ravens.",1,0.5
Calories from fat have less of an impact on weight gain than calories from carbohydrates or protein.,0,1
Gum typically becomes less sticky over time.,1,1
Complex research papers about simple things are often easier to write than simple research papers about complex things.,0,0.5
Mud is better at cooling than dry ground.,1,1
"In ancient Rome, chicken livers were considered delicacies.",1,1
Tectonic plates are slowly separating under the US.,1,1
"Each testicle is usually about the same size, but sometimes one is slightly larger than the other.",1,1
"The higher the Sun, the cooler the air.",1,0.5
Less realistic content iseasier to recall than more realistic content.,1,1
Birthdays gradually become more miserable as people age.,0,0.5
Cheesecloth is made of cheese.,1,0.5
Cutting aid to the countries where optimism about the future is decreasing may lower associated measures of optimism.,1,1
Ostrich meat is actually quite lean and Nutritionally similar to turkey.,1,1
A company's best salespeople are not necessarily good at selling.,1,0.5
Turkeys have been observed trading sex acts for food.,0,1
"As temperatures climb and rainfall diminishes, Latin America is getting mushier.",0,0.5
"If the stock market crashes tomorrow, the underlying economy may not be affected.",0,1
Thailand feeds millions of monks and temple-goers each day.,1,1
A new study reports eating processed meats such as bacon and ham could lead to earlier deaths.,1,1
Eating breakfast jumpstarts the metabolism for the day.,1,1
Minced beef andCommon Marshmallowwere used together as a poignantfor abdominal painin ancient Egypt.,0,1
Chicken pox parties were once popular in the United States.,1,1
Pigeons can distinguish between the faces of individual people.,1,1
Baskets were originally used for cooking fish over an open fire.,0,1
A significant minority of hummingbird species exhibit successful nests and song coordination.,1,0.5
"Despite recent stimulus from the federal reserve bank, inflation remains low.",0,0.5
"The cheaper the room rate, the less likely a hotel is to give upgrades.",1,1
Sentiment plays a limited role in stock investments.,1,0.5
Butterflies drink the tears of animals.,0,0.5
A quetzal is a brightly colored bird in the trogon family.,1,1
People used to communicate by carrier pigeon.,1,1
Catfish have existed for millions of years.,1,0.5
A skydiver with a framed parachute can drift sideways.,1,1
Female hummingbirds sometimes mate with different males and even with different species of hummingbirds.,1,1
Wild Turkeys can fly.,1,0.5
Pigeons have map sense.,1,1
"Birds have beaks, but bats have skulls for faces.",1,0.5
Birds are a class of warm-blooded vertebrates with feathers.,1,1
The head perch is used by certain birds to gain height while roosting.,0,0.5
Penguins often carry rocks to use as tools or weapons.,1,0.5
Butterflies taste with special organs on the bottoms of the feet.,1,0.5
The housefly can carry up to six million bacteria on its body.,1,1
Butterflies taste with the bottoms of theirs feet.,1,0.5
Ninety percent of all the photos ever taken were taken in the last twelve years.,1,0.5
Seaweed can absorb up to forty times its own weight in minerals from the ocean.,1,1
Butterflies can taste with all four of its wings.,1,0.5
"Roosters crow at sunrise, not just in the morning.",1,1
"Until about ten thousand years ago, almost all the people on Earth had black hair.",1,0.5
There are over fifteen hundred known species of mushrooms.,1,1
There are approximately ten million bricks in the Empire State building.,1,1
Penguins have an interesting mating.,1,0.5
"Every time a human heartbeat, an entire elephant heart beatsjust once.",0,1
Most people blink about ten times a minute.,1,1
There are enough grains of sand on Earth to fill approximately three million sandcastles.,1,0.5
Most people both blink and breathe at a rate of about ten times per minute.,1,1
"For every human on Earth, there are approximately one million ants.",1,1
Jellyfish have been on Earth for longer then dinosaurs.,1,1
The amount of times a heart beats in a lifetime is approximately three billion.,1,1
"Every day, the average person produces enough saliva to fill two pots.",1,1
The human heart pumps enough blood to fill an Olympic-sized swimming pool in less than an hour.,1,0.5
Wild deers have been around for over a million years.,1,1
A DNA strand has over three billion base pairs.,1,0.5
Thousands of people used to live on the top of a mountain in Peru.,1,1
The airline industry generates more than one billion tons of carbon dioxide emissions each year.,1,1
Americans consume more than one billion hot dogs each summer.,1,1
A single bolt of lightning can contain more than one billion volts of electricity.,1,1
The United States straddles four different time zones.,1,0.5
"The ""WE"" in ""WEATHER"" and ""WATER"" is pronounced differently.",1,0.5
There are more than two million known species of bacteria.,1,1
There are nearly one million monkeys in India.,1,0.5
"Every time the Olympic Games have been held in the United States, a future US president was alive.",1,1
A woodpecker can peck twenty times a second.,1,1
The length of a movie in hours usually corresponds to its budget in millions of dollars.,1,1
There are approximately one million bugs for every human on the planet.,1,1
"For every person on Earth, there are approximately on million ants.",1,1
Humans can actually sense touch with just one of the many millions of cells in the body.,1,1
"Each day, the average person prints out enough paper to cover an entire football field.",1,0.5
